22	84	3	53.3265316	-6.4189921	250000	5
6	311	5	53.3143393	-6.2541334	2300000	6
4	100	2	53.3315161	-6.2130325	775000	5
14	70	2	53.3030516	-6.265801	395000	1
14	93	3	53.2945804	-6.2618811	650000	2
13	49	1	53.3981138	-6.1793415	169000	1
12	84	3	53.3131396	-6.32222	395000	2
15	88	3	53.3815276	-6.4008841	330000	6
1	48	2	53.3552311	-6.2440881	230000	7
66	126	4	53.2976983	-6.299973	650000	6
13	66	2	53.4018183	-6.1407405	270000	1
15	92	3	53.3720781	-6.3706031	350000	1
22	75	3	53.3045704	-6.3653584	335000	2
15	63	2	53.388109	-6.429567	235000	1
18	346	5	53.2592362	-6.1662505	1395000	3
13	65	2	39.9662406	-75.1535221	250000	1
2	78	2	53.344003	-6.2341582	685000	1
14	210	4	53.292737	-6.2432347	845000	6
8	83	3	53.3423374	-6.3094157	395000	1
9	123	3	53.3876615	-6.2495021	475000	5
3	200	4	53.3706867	-6.2065887	995000	6
3	84	2	53.3547019	-6.2362931	350000	7
14	154	3	53.3030865	-6.2842178	650000	6
9	73	2	53.3721817	-6.2614044	395000	7
12	85	3	53.3155551	-6.3036949	290000	5
18	126	3	53.2619565	-6.218458	435000	4
15	68	2	53.3958532	-6.4304119	250000	1
66	86	2	53.3017886	-6.2965723	435000	1
11	180	4	53.3903508	-6.2740542	600000	6
66	170	4	53.3200358	-6.2864155	725000	6
20	173	5	53.3523668	-6.3749486	420000	5
11	79	3	53.3890537	-6.319832	235000	5
9	76	2	53.4067249	-6.2493205	245000	1
8	46	1	53.3430611	-6.3215398	225000	1
12	115	4	53.3183647	-6.3306723	450000	5
66	62	2	53.3109755	-6.3064508	395000	5
8	512	4	53.3403985	-6.315653	475000	7
4	101	2	53.3139611	-6.2264795	575000	1
15	64	2	53.3879699	-6.3932206	210000	1
24	87	3	53.2883931	-6.4152831	235000	7
4	86	2	53.327532	-6.2385031	550000	1
15	87	2	53.3702678	-6.3842596	350000	1
15	60	3	53.3957015	-6.4212565	279000	6
6	59	2	53.3226942	-6.286871	340000	7
5	107	3	53.3816582	-6.1598717	520000	6
1	110	3	53.349531	-6.244996	630000	1
16	119	3	53.2773999	-6.3291454	495000	6
8	47	2	53.3351622	-6.272684	375000	2
